epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,16467,0.55445,0.47664,1.08153,0.9058,0.82022,0.89363,0.81752,0.5741,0.6276,1.08867,0.0009176,0.0009176,0.0009176
43,16749.5,0.57224,0.50692,1.07565,0.89862,0.82998,0.89867,0.81882,0.57709,0.63033,1.08098,0.0008912,0.0008912,0.0008912
44,17016.3,0.54044,0.4976,1.06481,0.92226,0.85768,0.91761,0.8364,0.54673,0.58273,1.05185,0.0008648,0.0008648,0.0008648
45,17279.4,0.53918,0.49021,1.07056,0.88777,0.79991,0.87368,0.76727,0.6215,0.79451,1.12064,0.0008384,0.0008384,0.0008384
46,17553.1,0.51706,0.45466,1.04777,0.93111,0.81273,0.89826,0.81981,0.55126,0.57127,1.09521,0.000812,0.000812,0.000812
47,17828.5,0.51196,0.46171,1.05089,0.93151,0.82022,0.89892,0.81035,0.59594,0.68003,1.12011,0.0007856,0.0007856,0.0007856
48,19244.1,0.49979,0.46487,1.04536,0.89945,0.83895,0.90033,0.82659,0.56729,0.6057,1.09082,0.0007592,0.0007592,0.0007592
49,19508.1,0.50104,0.45426,1.041,0.93778,0.80899,0.90448,0.81179,0.57339,0.60651,1.07971,0.0007328,0.0007328,0.0007328
50,19981.1,0.48893,0.43581,1.04318,0.94511,0.84644,0.91694,0.8353,0.53831,0.56861,1.01638,0.0007064,0.0007064,0.0007064
51,20535.6,0.47921,0.42383,1.02812,0.93549,0.79026,0.89736,0.80863,0.59527,0.6362,1.10817,0.00068,0.00068,0.00068
52,21087.1,0.50696,0.45089,1.05292,0.9357,0.81759,0.90655,0.83041,0.55866,0.59903,1.08558,0.0006536,0.0006536,0.0006536
53,21618.1,0.48682,0.4442,1.03429,0.93262,0.82772,0.91937,0.83763,0.5378,0.59721,1.03872,0.0006272,0.0006272,0.0006272
54,22171.2,0.4956,0.43575,1.04095,0.90684,0.875,0.92906,0.84722,0.50992,0.53771,1.01791,0.0006008,0.0006008,0.0006008
55,22597.4,0.47515,0.40934,1.03481,0.92075,0.85768,0.91896,0.84444,0.49376,0.54242,1.03555,0.0005744,0.0005744,0.0005744
56,22889.6,0.48187,0.41576,1.03261,0.90234,0.88015,0.92872,0.84335,0.5235,0.55956,1.03217,0.000548,0.000548,0.000548
57,23307,0.48336,0.43625,1.03828,0.88393,0.87266,0.9268,0.84346,0.5038,0.55765,1.02975,0.0005216,0.0005216,0.0005216
58,23575.9,0.48198,0.41737,1.0291,0.91645,0.83521,0.90872,0.83393,0.51645,0.59765,1.04855,0.0004952,0.0004952,0.0004952
59,23842.2,0.47334,0.42541,1.03365,0.88037,0.85393,0.91564,0.84104,0.48417,0.52648,1.02942,0.0004688,0.0004688,0.0004688
60,24105.9,0.46201,0.40579,1.03204,0.935,0.82772,0.91353,0.82799,0.52002,0.60776,1.08535,0.0004424,0.0004424,0.0004424
61,24370.7,0.45442,0.38083,1.02338,0.89067,0.85432,0.91482,0.83432,0.51521,0.56996,1.06923,0.000416,0.000416,0.000416
62,24637.1,0.46009,0.40591,1.03041,0.95082,0.81648,0.90311,0.8307,0.50316,0.60014,1.06375,0.0003896,0.0003896,0.0003896
63,24900.7,0.46537,0.41333,1.03681,0.90669,0.8839,0.92599,0.85259,0.49437,0.52994,1.05118,0.0003632,0.0003632,0.0003632
64,25165.1,0.46337,0.40255,1.0276,0.93076,0.85768,0.92607,0.85176,0.49702,0.5452,1.04599,0.0003368,0.0003368,0.0003368
65,25428,0.46372,0.39406,1.03115,0.96049,0.8194,0.9156,0.84134,0.49257,0.58438,1.03971,0.0003104,0.0003104,0.0003104
66,25691.8,0.32066,0.32385,0.90156,0.87935,0.87356,0.91815,0.83945,0.49823,0.5653,1.04946,0.000284,0.000284,0.000284
67,25953.6,0.30921,0.29863,0.8884,0.9343,0.85215,0.91957,0.8415,0.47512,0.54601,1.03046,0.0002576,0.0002576,0.0002576
68,26246.1,0.30536,0.2957,0.89108,0.9295,0.85019,0.91021,0.8409,0.49163,0.57194,1.05996,0.0002312,0.0002312,0.0002312
69,26549.9,0.30596,0.2983,0.89795,0.96184,0.81648,0.91995,0.84544,0.49518,0.52934,1.05895,0.0002048,0.0002048,0.0002048
70,26849.6,0.29316,0.28368,0.88655,0.92535,0.83521,0.92164,0.84064,0.48456,0.5279,1.05533,0.0001784,0.0001784,0.0001784
71,27168.5,0.28173,0.27791,0.8819,0.9427,0.86258,0.92957,0.84875,0.4698,0.47859,1.05778,0.000152,0.000152,0.000152
72,27451.8,0.28231,0.27219,0.87351,0.93639,0.85768,0.92652,0.84722,0.45994,0.49608,1.03473,0.0001256,0.0001256,0.0001256
73,27731.4,0.28574,0.27062,0.88645,0.93123,0.86224,0.92794,0.84981,0.4576,0.49915,1.02905,9.92e-05,9.92e-05,9.92e-05
74,28011.5,0.27198,0.27143,0.85985,0.93467,0.85732,0.92419,0.84862,0.46222,0.46892,1.05329,7.28e-05,7.28e-05,7.28e-05
75,28486,0.27385,0.26294,0.87087,0.91662,0.86463,0.92654,0.85167,0.4532,0.47417,1.02049,4.64e-05,4.64e-05,4.64e-05
